user_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,groupId
user_36195,1,2,4,8,3,1,9,3,7,6,1,3,1,8,9,8,8,9,3,9,9,1,2,2,2,501
user_66954,2,2,3,6,10,5,8,9,10,6,6,5,4,2,5,5,2,2,4,8,7,1,1,8,2,501
user_14039,3,7,4,1,10,9,7,2,10,9,4,9,10,9,2,7,5,10,1,6,7,2,1,9,4,501
user_96584,1,4,3,9,4,6,6,4,2,9,6,9,9,5,10,10,7,2,7,7,5,3,9,7,7,501
user_51705,3,7,2,5,5,6,4,6,6,1,10,8,10,3,3,7,3,10,6,2,5,6,9,7,1,502
user_87128,2,2,2,1,7,7,3,7,4,2,2,10,9,10,10,7,3,4,7,10,8,3,3,2,2,502
user_24927,2,4,6,6,6,3,3,7,7,9,3,8,8,6,4,6,5,1,6,3,5,4,8,6,2,503
user_80477,10,8,8,8,1,2,4,9,5,10,4,3,3,4,8,1,6,10,3,7,4,1,4,2,3,503
user_58168,8,8,3,8,1,6,3,10,3,9,2,6,4,1,8,10,7,4,6,10,3,4,1,6,1,503
user_13201,10,9,2,1,4,4,9,4,8,7,6,6,9,6,3,6,10,2,3,7,8,8,7,10,7,503
user_23106,7,3,2,5,5,1,8,1,8,4,6,2,6,8,10,5,6,10,1,5,10,5,5,10,7,503
user_28867,5,5,1,2,3,2,8,2,3,7,1,1,3,9,2,5,3,3,1,5,9,9,7,5,10,503
user_98321,7,5,10,7,5,4,9,3,7,7,5,8,9,2,5,7,5,5,1,10,4,7,5,6,10,503
user_65870,5,3,6,6,7,8,9,7,8,8,2,6,3,8,1,7,10,7,8,1,3,4,4,9,8,503
user_10554,9,5,7,2,9,9,5,4,5,2,8,6,2,3,1,9,4,10,3,8,10,9,1,1,2,504
user_44116,1,1,10,3,6,5,2,5,6,3,9,2,9,6,4,4,8,6,9,10,1,1,9,5,3,504
user_86790,10,9,3,9,9,2,7,4,2,1,2,7,8,4,10,8,8,6,7,6,1,6,6,4,10,504
user_87201,10,3,8,2,6,4,10,1,3,1,2,8,1,1,7,1,5,6,5,4,7,5,9,7,5,504
user_66687,3,10,5,1,6,2,3,1,4,3,9,9,4,9,9,9,1,2,3,9,8,7,7,2,9,504
user_60848,9,5,3,8,7,10,7,7,8,6,4,8,3,2,2,7,5,3,7,1,6,7,6,9,4,504
user_22448,10,4,10,8,10,9,9,2,9,6,3,5,3,8,5,7,6,3,5,3,1,9,3,10,5,504
user_40256,7,7,9,7,10,10,7,10,9,9,10,2,3,5,1,9,2,3,3,9,6,7,4,3,10,504
user_69843,3,10,4,2,2,8,4,6,6,9,7,3,7,8,3,6,4,6,5,7,3,2,7,7,8,505
user_82048,4,10,9,2,3,3,10,9,1,2,6,3,3,3,3,4,6,6,3,4,5,4,5,9,10,505
user_92404,10,2,3,2,2,6,10,3,2,8,7,9,4,9,9,2,4,9,5,9,5,8,7,2,2,505
user_99196,5,10,9,8,6,5,3,3,2,6,6,6,5,2,10,4,7,9,10,1,3,10,6,2,3,505
user_46416,8,4,8,4,2,3,6,9,7,10,3,3,6,9,2,5,5,1,5,8,4,8,10,4,5,506
user_33956,1,7,3,5,1,3,6,9,4,7,2,7,7,8,1,3,2,4,6,8,1,7,8,4,8,506
user_76477,6,1,5,2,4,2,5,2,10,7,2,2,6,4,6,4,7,5,4,6,1,1,9,5,8,506
user_48662,3,2,7,7,10,10,2,8,3,10,6,5,5,2,2,10,6,8,1,2,7,9,8,8,7,506
